Fid,gender,age,location_type,preferred_time,preferred_language_for_learning,prefered_location ,learning_group,average_time_ spent,elearning_style,Label
172.217.12.170-10.42.0.211-443-44342-6,Female,40,Urban,Afternoon,English,Home,Science,2-4 hours,NON VERBAL,0
10.42.0.211-47.89.68.225-47485-443-6,Male,40,Urban,Morning,English,Class Room,Arts,Less than an hour,VERBAL,1
10.42.0.42-52.179.189.71-54061-443-6,Male,55,Rural,Evening,English,Home,Commerce,Less than an hour,NON VERBAL,0
216.58.219.194-10.42.0.42-443-48094-6,Male,40,Urban,Morning,English,Central Library,Science,Less than an hour,VERBAL,1
180.76.182.155-10.42.0.211-80-60586-6,Male,40,Rural,Morning,English,Home,other,Less than an hour,NON VERBAL,0
172.217.12.162-10.42.0.151-443-41454-6,Male,30,Urban,Evening,English,Park or Garden,Science,Less than an hour,NON VERBAL,0
172.217.10.130-10.42.0.151-443-56907-6,Female,40,Urban,Late Night,English,Home,Science,2-4 hours,NON VERBAL,0
172.217.3.106-10.42.0.211-443-41106-6,Male,45,Urban,Late Night,English,Central Library,Science,2-4 hours,NON VERBAL,0
10.42.0.211-10.42.0.1-10052-53-17,Male,50,Urban,Late Night,English,Central Library,Science,2-4 hours,VERBAL,1
10.42.0.211-52.0.93.246-45776-443-6,Male,45,Rural,Late Night,English,Home,Science,2-4 hours,NON VERBAL,0
10.42.0.151-121.29.54.142-59447-80-6,Male,30,Rural,Morning,English,Central Library,Science,2-4 hours,NON VERBAL,0
172.217.6.202-10.42.0.211-443-47447-6,Female,30,Rural,Morning,English,Central Library,Science,2-4 hours,VERBAL,1
172.217.12.170-10.42.0.151-443-49883-6,Male,35,Rural,Late Night,English,w Park or Garden,Science,s 6 and Above,NON VERBAL,0
173.194.175.188-10.42.0.151-5228-34789-6,Male,40,Urban,Morning,English,Central Library,Science,Less than an hour,VERBAL,1
239.255.255.250-10.42.0.1-1900-44477-17,Male,45,Rural,Evening,English,Central Library,other,Less than an hour,NON VERBAL,0
10.42.0.151-104.254.66.16-54085-80-6,Male,40,Rural,Late Night,English,Park or Garden,Science,Less than an hour,NON VERBAL,0
172.217.12.206-10.42.0.151-443-34088-6,Male,60,Rural,Evening,English,Class Room,Science,Less than an hour,VERBAL,1
10.42.0.42-54.192.38.154-59370-443-6,Male,35,Urban,Morning,English,Central Library,Science,2-4 hours,NON VERBAL,0
180.149.136.194-10.42.0.211-80-57315-6,Male,60,Rural,Morning,English,w Home,Science,Less than an hour,VERBAL,1
10.42.0.42-66.198.178.91-52456-443-6,Male,45,Urban,Afternoon,English,Home,Science,Less than an hour,VERBAL,1
10.42.0.151-10.42.0.1-40150-53-17,Male,30,Rural,Evening,English,Campus Ground,other,Less than an hour,NON VERBAL,0
183.79.248.124-10.42.0.211-443-40398-6,Male,40,Rural,Morning,English,w Campus Ground,Arts,Less than an hour,NON VERBAL,0
10.42.0.151-91.190.219.146-54317-443-6,Female,55,Rural,Morning,English,Home,Science,Less than an hour,NON VERBAL,0
169.45.214.248-10.42.0.151-5222-56112-6,Male,35,Urban,Late Night,English,Home,Science, 2-4 hours,VERBAL,1
10.42.0.211-10.42.0.1-49857-53-17,Male,45,Rural,Late Night,English,Central Library,Arts,2-4 hours,NON VERBAL,0
10.42.0.151-10.42.0.1-41614-53-17,Male,35,Urban,Late Night,English,Home,Science,Less than an hour,NON VERBAL,0
10.42.0.151-10.42.0.1-9903-53-17,Male,25,Rural,Morning,English,College lab,Commerce,2-4 hours,NON VERBAL,0
10.42.0.42-13.66.26.172-53130-443-6,Male,60,Rural,Evening,English,Central Library,Science,Less than an hour,NON VERBAL,0
172.217.10.100-10.42.0.151-443-41030-6,Male,45,Rural,Late Night,English,Home,Science,Less than an hour,NON VERBAL,0
172.217.10.74-10.42.0.151-443-57211-6,Male,45,Rural,Morning,English,Home,Science,Less than an hour,NON VERBAL,0
172.217.12.170-10.42.0.42-443-52998-6,Male,65,Rural,Evening,English,Home,Science,2-4 hours,VERBAL,1
206.126.112.142-10.42.0.151-443-39311-6,Male,55,Urban,Late Night,English,w Other places,Science,Less than an hour,NON VERBAL,0
172.217.10.42-10.42.0.42-443-56914-6,Female,20,Urban,Late Night,English,Home,Science,Less than an hour,VERBAL,1
203.205.158.23-10.42.0.151-80-48808-6,Male,40,Urban,Morning,English,Home,Science,Less than an hour,VERBAL,1
10.42.0.1-10.42.0.42-53-41717-17,Male,50,Rural,Evening,English,Central Library,Science,Less than an hour,NON VERBAL,0
10.42.0.151-104.244.43.131-48232-443-6,Male,40,Urban,Afternoon,English,Park or Garden,Science,2-4 hours,NON VERBAL,0
10.42.0.211-119.146.74.31-58603-443-6,Male,25,Rural,Late Night,English,Central Library,Science,Less than an hour,VERBAL,1
10.42.0.211-98.139.225.43-50554-443-6,Female,55,Rural,Morning,English,Home,Science,Less than an hour,NON VERBAL,0
192.229.173.173-10.42.0.211-443-43640-6,Male,35,Urban,Late Night,English,Home,Science,Less than an hour,NON VERBAL,0
10.42.0.211-98.139.180.180-37794-443-6,Male,20,Rural,Morning,English,College lab,Science, 2-4 hours,NON VERBAL,0
10.42.0.211-23.21.95.195-47277-443-6,Male,40,Rural,Late Night,English,Home,Science,Less than an hour,NON VERBAL,0
10.42.0.211-10.42.0.1-5070-53-17,Female,50,Rural,Morning,English,College lab,Science,Less than an hour,VERBAL,1
203.205.158.60-10.42.0.42-80-33363-6,Male,60,Rural,Late Night,English,College lab,Science,2-4 hours,NON VERBAL,0
10.42.0.211-104.244.42.129-53464-80-6,Male,40,Urban,Morning,English,w Home,Science,Less than an hour,NON VERBAL,0
175.100.207.233-10.42.0.211-80-47336-6,Male,80,Urban,Morning,English,College lab,Science,Less than an hour,VERBAL,1
10.42.0.151-10.42.0.1-20557-53-17,Female,20,Rural,Morning,English,Central Library,Science,Less than an hour,NON VERBAL,0
10.42.0.211-23.206.166.62-42171-80-6,Female,25,Rural,Morning,English,Class Room,Science,Less than an hour,NON VERBAL,0
198.11.188.78-10.42.0.42-443-45000-6,Male,30,Urban,Morning,English,w College lab,Science,Less than an hour,NON VERBAL,0
172.217.10.65-10.42.0.211-443-40213-6,Male,50,Urban,Morning,English,Home,Science,Less than an hour,NON VERBAL,0
10.42.0.151-91.190.216.60-36975-12350-6,Female,60,Rural,Morning,English,Central Library,Science,a 2-4 hours,VERBAL,1
8.0.6.4-8.6.0.1-0-0-0,Male,50,Rural,Evening,English,Home,Science,Less than an hour,VERBAL,1
172.217.7.164-10.42.0.42-443-38539-6,Female,55,Rural,Morning,English,Home,Science,2-4 hours,VERBAL,1
10.42.0.1-10.42.0.42-53-50679-17,Male,50,Urban,Late Night,English,Home,Science,Less than an hour,NON VERBAL,0
172.217.6.202-10.42.0.42-443-33738-6,Male,30,Rural,Late Night,English,Home,Science, 2-4 hours,NON VERBAL,0
10.42.0.211-10.42.0.1-14200-53-17,Male,40,Rural,Morning,English,Class Room,Science, Less than an hour,NON VERBAL,0
180.149.136.194-10.42.0.211-80-48637-6,Male,60,Rural,Morning,English,Central Library,Science,Less than an hour,NON VERBAL,0
10.42.0.151-125.88.193.226-57182-80-6,Female,45,Rural,Morning,English,Central Library,Science,Less than an hour,VERBAL,1
10.42.0.211-104.192.108.27-53833-80-6,Male,30,Urban,Late Night,English,Central Library,Science, Less than an hour,VERBAL,1
10.42.0.211-10.42.0.1-31723-53-17,Male,40,Urban,Morning,English,Home,Commerce,Less than an hour,NON VERBAL,0
10.42.0.211-111.202.114.77-49801-443-6,Male,30,Rural,Morning,English,Home,Commerce,Less than an hour,VERBAL,1
203.130.53.126-10.42.0.211-80-52064-6,Male,35,Rural,Morning,English,Home,Arts,Less than an hour,NON VERBAL,0
172.217.10.10-10.42.0.151-443-39296-6,Male,50,Urban,Morning,English,Home,Commerce,Less than an hour,NON VERBAL,0
10.42.0.1-10.42.0.42-53-24839-17,Female,35,Rural,Afternoon,English,Central Library,Science, 2-4 hours,NON VERBAL,0
172.217.10.131-10.42.0.151-443-48358-6,Male,60,Rural,Morning,English,Home,Commerce,Less than an hour,VERBAL,1
140.205.140.87-10.42.0.211-80-39636-6,Male,40,Urban,Late Night,English,Home,Science,Less than an hour,NON VERBAL,0
203.205.151.47-10.42.0.151-80-60295-6,Female,45,Urban,Evening,English,Central Library,Science,2-4 hours,NON VERBAL,0
10.42.0.151-104.244.43.227-49848-443-6,Male,50,Urban,Morning,English,w Home,Commerce,Less than an hour,NON VERBAL,0
10.42.0.151-10.42.0.1-46697-53-17,Male,35,Urban,Late Night,English,w Other places,Arts,Less than an hour,NON VERBAL,0
10.42.0.211-52.84.29.154-57116-443-6,Male,40,Urban,Late Night,English,w Home,Science,Less than an hour,VERBAL,1
10.42.0.151-10.42.0.1-32711-53-17,Male,55,Rural,Morning,English,Central Library,other,Less than an hour,NON VERBAL,0
10.42.0.211-66.231.239.124-55348-80-6,Female,50,Rural,Morning,English,Class Room,Science, 2-4 hours,VERBAL,1
